frame,a,b,c,d,e,intervalo
imagen117,-2.1796941259255576e-05,0.002712267976971754,-0.1317927398535525,2.994059191659371,12.17410480764685,64.0
imagen118,-2.1929342033599752e-05,0.002726517860881252,-0.13217111571067444,2.9915481756882145,12.344097038854237,64.0
imagen119,-2.080230069179123e-05,0.0025877388987923648,-0.1268526670561843,2.930105800176876,11.253921295761593,64.0
imagen120,-2.146808065450756e-05,0.0026669726060043323,-0.12992955729427874,2.9743253546092343,12.110698084847293,64.0
imagen121,-1.8037796849057486e-05,0.0021590894575435424,-0.10398589278243278,2.450090409810617,15.412743906206195,64.0
imagen122,-2.1846101209810342e-05,0.002722539527028031,-0.1323475001517733,2.9983429894524787,12.324834654637593,64.0
imagen123,-2.155198388848466e-05,0.002687134216766993,-0.13125427887982205,3.0007192140072094,11.97614237004592,64.0
imagen124,-2.186904355871988e-05,0.0027256375042160525,-0.13257378534702002,3.009399246101501,12.05328244049888,64.0
imagen125,-1.8166059100988008e-05,0.002182781007011273,-0.10526054249716985,2.4689624805207817,15.38692643235801,64.0
imagen126,-2.234197019967965e-05,0.002786696930826,-0.1348887847076541,3.028507931779501,12.265204589827619,64.0
